grocery_id,grocery_name,grocery_address,grocery_ratings,latitude,longitude
336,Dollar General,"12750 La Poynor St, Manor, TX 78653",1.5,30.335771611156677,-97.55967064112896
337,Dollar General,"770 WINDY HILL ROAD, Kyle, TX 78640",1.0,30.031059,-97.836095
338,Dollar General,"17545 CAMINO REAL, Mustang Ridge, TX 78610",1.0,30.030912,-97.676214
339,Park N Sak II,"1410 W Whitestone Blvd, Cedar Park, TX 78613",2.0,30.51467,-97.8492799
340,Wag A Bag,"1200 S Interstate 35, Round Rock, TX 78681",5.0,30.498186,-97.681735
341,Shop N Carry,"8514 S Congress Ave, Austin, TX 78745",2.5,30.173422,-97.785505
342,Dollar General,"801 E FM 150, Kyle, TX 78640",2.0,29.977259,-97.863857
343,Wag-A-Bag,"408 Hwy 79 West, Hutto, TX 78634",1.5,30.543047,-97.550041
344,Dollar General,"2132 N Mays St, Ste 910, Round Rock, TX 78664",2.0,30.531393,-97.690269
345,Wag-A-Bag,"801 S Mays St, Round Rock, TX 78664",4.0,30.50217,-97.6761
346,Dollar General,"1351 CHRIS KELLEY BLVD, Hutto, TX 78634",2.5,30.521302,-97.569248
